Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		15,184 K	76,300 K	68		
System Idle Process	71.74	60 K	8 K	0		
System	3.43	196 K	144 K	4		
 Interrupts	7.44	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,164 K	1,116 K	292		
 Memory Compression		144 K	2,916 K	1500		
csrss.exe		1,536 K	5,004 K	380		
wininit.exe		1,324 K	6,688 K	452		
 services.exe		4,452 K	9,316 K	544		
  svchost.exe		900 K	3,880 K	668	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		9,388 K	25,136 K	740	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		1,860 K	7,644 K	3972	COM Surrogate	Microsoft Corporation
   StartMenuExperienceHost.exe		20,188 K	65,936 K	4004		
   RuntimeBroker.exe		5,380 K	23,568 K	4160	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	99,960 K	176,596 K	4272	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		15,604 K	46,096 K	4380	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		17,232 K	35,368 K	4516	Application Frame Host	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,968 K	1,092 K	4532	Microsoft Skype	Microsoft Corporation
   SkypeApp.exe	Suspended	12,476 K	30,240 K	4680	SkypeApp	Microsoft Corporation
   RuntimeBroker.exe		3,072 K	15,328 K	5112	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	4,076 K	15,212 K	5708	Microsoft Edge Web Platform	Microsoft Corporation
   LockApp.exe	Suspended	9,464 K	40,852 K	5460	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		4,832 K	24,156 K	5560	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		3,692 K	21,516 K	5808	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,440 K	15,108 K	5928	Runtime Broker	Microsoft Corporation
   WinStore.App.exe	Suspended	14,512 K	388 K	3168	Store	Microsoft Corporation
   RuntimeBroker.exe		1,448 K	6,972 K	4192	Runtime Broker	Microsoft Corporation
   SystemSettings.exe	Suspended	19,324 K	616 K	3584	Settings	Microsoft Corporation
   dllhost.exe		4,180 K	11,976 K	3184	COM Surrogate	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	17,368 K	58,428 K	1236	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		3,632 K	21,008 K	3384	Runtime Broker	Microsoft Corporation
   SystemSettingsBroker.exe		3,452 K	16,944 K	5176	System Settings Broker	Microsoft Corporation
   SecurityHealthHost.exe		2,256 K	14,312 K	6280	Windows Security Health Host	Microsoft Corporation
   smartscreen.exe		14,380 K	30,028 K	5492	Windows Defender SmartScreen	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	21,740 K	66,988 K	3864	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		1,540 K	8,152 K	6536	Browser_Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	34,476 K	75,104 K	4188	Microsoft Edge Content Process	Microsoft Corporation
   WmiPrvSE.exe		22,936 K	31,052 K	6976		
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		8,756 K	37,920 K	6884	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
  svchost.exe	0.02	6,884 K	13,208 K	772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,212 K	8,088 K	828	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,496 K	5,988 K	1012	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,820 K	6,724 K	1020	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,128 K	10,152 K	8	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,800 K	15,124 K	396	Host Process for Windows Services	Microsoft Corporation
